schools,rank_x,us_overall_rank,rank_y,us_urban_rank,rank_diff
"Department of Economics, University of MinnesotaMinneapolis, Minnesota (USA)",37,37,470.0,212.0,-175.0
"Department of Economics, University of WashingtonSeattle, Washington (USA)",44,44,,,
"Division of Social Sciences, California Institute of TechnologyPasadena, California (USA)",50,50,,,
"Argyros School of Business and Economics, Chapman UniversityOrange, California (USA)",53,53,,,
"Department of Economics, Indiana UniversityBloomington, Indiana (USA)",54,54,,,
"Department of Economics, International Business School, Brandeis UniversityWaltham, Massachusetts (USA)",60,60,,,
"Department of Economics, Krannert School of Management, Purdue UniversityWest Lafayette, Indiana (USA)",62,62,,,
"Department of Finance and Business Economics, Marshall School of Business, University of Southern CaliforniaLos Angeles, California (USA)",64,64,,,
"Economics Department, University of RochesterRochester, New York (USA)",66,66,,,
"Department of Economics, University of North Carolina-Chapel-HillChapel Hill, North Carolina (USA)",71,71,,,
"Department of Economics, College of Business, University of WyomingLaramie, Wyoming (USA)",73,73,,,
"Economics Department, Eller College of Management, University of ArizonaTucson, Arizona (USA)",74,74,,,
"Economics Department, Stony Brook University - SUNYStony Brook, New York (USA)",79,79,,,
"Department of Economics, Finance and Legal Studies, Culverhouse College of Business, University of Alabama-TuscaloosaTuscaloosa, Alabama (USA)",80,80,,,
"School of Economics, LeBow College of Business, Drexel UniversityPhiladelphia, Pennsylvania (USA)",84,84,,,
"Department of Economics, Graduate Center, City University of New York (CUNY)New York City, New York (USA)",85,85,,,
"Department of Economics, New School for Social Research, The New SchoolNew York City, New York (USA)",86,86,,,
"Economics Department, University of WisconsinMilwaukee, Wisconsin (USA)",88,88,,,
"Department of Business Economics and Public Policy, Ross School of Business, University of MichiganAnn Arbor, Michigan (USA)",89,89,,,
"Department of Economics, University of KansasLawrence, Kansas (USA)",90,90,,,
"Department of Economics, American UniversityWashington, District of Columbia (USA)",91,91,,,
"International Economics Department, School of Advanced International Studies, Johns Hopkins UniversityWashington, District of Columbia (USA)",92,92,,,
"Department of Economics, University of Hawaii-ManoaManoa, Hawaii (USA)",93,93,,,
"Department of Economics, Appalachian State UniversityBoone, North Carolina (USA)",97,97,,,
"Department of Economics, Middlebury CollegeMiddlebury, Vermont (USA)",98,98,,,
"Department of Economics, Poole College of Management, North Carolina State UniversityRaleigh, North Carolina (USA)",100,100,,,
"Department of Business Economics and Public Policy, Kelley School of Business, Indiana UniversityBloomington, Indiana (USA)",101,101,,,
"Department of Economics, University of Massachusetts-AmherstAmherst, Massachusetts (USA)",102,102,,,
"Robert Day School of Economics and Finance, Claremont McKenna CollegeClaremont, California (USA)",103,103,,,
"Department of Economics, Auburn UniversityAuburn, Alabama (USA)",104,104,,,
"Department of Economics, University of California-MercedMerced, California (USA)",105,105,,,
"Department of Economics and Finance, Jon M. Huntsman School of Business, Utah State UniversityLogan, Utah (USA)",106,106,,,
"Department of Economics, School of Business, University of MiamiCoral Gables, Florida (USA)",109,109,,,
"Department of Economics, State University of New York-Albany (SUNY)Albany, New York (USA)",110,110,,,
"Department of Economics, Santa Clara UniversitySanta Clara, California (USA)",112,112,,,
"Department of Economics, School of Business, Virginia Commonwealth UniversityRichmond, Virginia (USA)",113,113,,,
"Department of Economics, Ourso College of Business, Louisiana State UniversityBaton Rouge, Louisiana (USA)",115,115,,,
"Department of Economics, Rensselaer Polytechnic InstituteTroy, New York (USA)",116,116,,,
"Department of Economics, Colorado State UniversityFort Collins, Colorado (USA)",117,117,,,
"Department of Economics, College of Business, University of Tennessee-KnoxvilleKnoxville, Tennessee (USA)",118,118,,,
"Economics Area, Fuqua School of Business, Duke UniversityDurham, North Carolina (USA)",119,119,,,
"Department of Economics, Indiana University-Purdue University (IUPUI)Indianapolis, Indiana (USA)",120,120,,,
"Economics & Finance Department, College of Business Administration, University of Texas-El PasoEl Paso, Texas (USA)",121,121,,,
"Economics Department, Bryan School of Business and Economics, University of North Carolina-GreensboroGreensboro, North Carolina (USA)",122,122,,,
"Department of Economics, University of New MexicoAlbuquerque, New Mexico (USA)",124,124,,,
"Economics Department, University of RichmondRichmond, Virginia (USA)",125,125,,,
"Department of Economics, Colgate UniversityHamilton, New York (USA)",126,126,,,
"Division of Economics and Business, Colorado School of MinesGolden, Colorado (USA)",127,127,,,
"Economics Department, Temple UniversityPhiladelphia, Pennsylvania (USA)",128,128,,,
"Department of Economics, Hankamer School of Business, Baylor UniversityWaco, Texas (USA)",129,129,,,
"Economics Department, College of Business, University of Nevada-RenoReno, Nevada (USA)",130,130,,,
"Department of Economics, Hunter College, City University of New York (CUNY)New York City, New York (USA)",132,132,,,
"Department of Economics, Florida International UniversityMiami, Florida (USA)",133,133,,,
"Department of Economics, University of Nebraska-OmahaOmaha, Nebraska (USA)",134,134,,,
"Economics Department, Amherst CollegeAmherst, Massachusetts (USA)",135,135,,,
"School of Economics, Georgia Institute of TechnologyAtlanta, Georgia (USA)",136,136,,,
