,schools,rank,us_macro_rank
54,"Department of Economics, Boston CollegeChestnut Hill, Massachusetts (USA)",83,55
55,"Brookings InstitutionWashington, District of Columbia (USA)",85,56
56,"Federal Reserve Bank of AtlantaAtlanta, Georgia (USA)",86,57
57,"Walter A. Haas School of Business, University of California-BerkeleyBerkeley, California (USA)",88,58
58,"Economic Research, Federal Reserve Bank of ClevelandCleveland, Ohio (USA)",90,59
59,"W.P. Carey School of Business, Arizona State UniversityTempe, Arizona (USA)",91,60
60,"Economics Department, Georgetown UniversityWashington, District of Columbia (USA)",93,61
61,"Department of Economics, University of WashingtonSeattle, Washington (USA)",94,62
62,"Economics Department, Yale UniversityNew Haven, Connecticut (USA)",95,63
63,"Department of Economics, University of California-IrvineIrvine, California (USA)",98,64
64,"Department of Finance, Kellogg Graduate School of Management, Northwestern UniversityEvanston, Illinois (USA)",101,65
65,"Department of Economics, Rutgers University-New BrunswickNew Brunswick, New Jersey (USA)",102,66
66,"Department of Economics, W.P. Carey School of Business, Arizona State UniversityTempe, Arizona (USA)",103,67
67,"Harvard Business School, Harvard UniversityCambridge, Massachusetts (USA)",106,68
68,"Department of Economics, Pennsylvania State UniversityState College, Pennsylvania (USA)",107,69
69,"Federal Reserve Bank of RichmondRichmond, Virginia (USA)",108,70
70,"Department of Economics, Vanderbilt UniversityNashville, Tennessee (USA)",110,71
71,"Department of Economics, University of MarylandCollege Park, Maryland (USA)",111,72
72,"Department of Economics, University of VirginiaCharlottesville, Virginia (USA)",114,73
73,"Economic Studies, Brookings InstitutionWashington, District of Columbia (USA)",117,74
74,"Finance Department, Wharton School of Business, University of PennsylvaniaPhiladelphia, Pennsylvania (USA)",123,75
75,"Economic Research Department, Federal Reserve Bank of ChicagoChicago, Illinois (USA)",124,76
76,"Department of Economics, University of California-Santa Barbara (UCSB)Santa Barbara, California (USA)",125,77
77,"Department of Economics, Duke UniversityDurham, North Carolina (USA)",126,78
78,"Finance Department, Stern School of Business, New York University (NYU)New York City, New York (USA)",127,79
79,"Economics Department, University of California-Santa Cruz (UCSC)Santa Cruz, California (USA)",128,80
80,"School of Management, Yale UniversityNew Haven, Connecticut (USA)",129,81
81,"Research Department, Federal Reserve Bank of PhiladelphiaPhiladelphia, Pennsylvania (USA)",130,82
82,"Economics Department, Williams CollegeWilliamstown, Massachusetts (USA)",131,83
83,"Anderson Graduate School of Management, University of California-Los Angeles (UCLA)Los Angeles, California (USA)",132,84
84,"Economic Research Department, Federal Reserve Bank of AtlantaAtlanta, Georgia (USA)",140,85
85,"Department of Economics, Washington University in St. LouisSt. Louis, Missouri (USA)",142,86
86,"Economic Research Division, Federal Reserve Bank of RichmondRichmond, Virginia (USA)",143,87
87,"Economics Department, University of RochesterRochester, New York (USA)",146,88
88,"Tepper School of Business Administration, Carnegie Mellon UniversityPittsburgh, Pennsylvania (USA)",149,89
89,"Economic Research, Federal Reserve Bank of BostonBoston, Massachusetts (USA)",156,90
90,"Federal Reserve Bank of Kansas CityKansas City, Missouri (USA)",158,91
91,"Department of Economics, Emory UniversityAtlanta, Georgia (USA)",160,92
92,"Department of Economics, Tepper School of Business Administration, Carnegie Mellon UniversityPittsburgh, Pennsylvania (USA)",162,93
93,"Fuqua School of Business, Duke UniversityDurham, North Carolina (USA)",170,94
94,"Lerner College of Business and Economics, University of DelawareNewark, Delaware (USA)",174,95
95,"Department of Economics, Lerner College of Business and Economics, University of DelawareNewark, Delaware (USA)",179,96
96,"Finance Area, Fuqua School of Business, Duke UniversityDurham, North Carolina (USA)",181,97
97,"Marshall School of Business, University of Southern CaliforniaLos Angeles, California (USA)",182,98
98,"Department of Finance and Business Economics, Marshall School of Business, University of Southern CaliforniaLos Angeles, California (USA)",183,99
99,"Department of Economics, New School for Social Research, The New SchoolNew York City, New York (USA)",187,100
100,"Economic Research, Federal Reserve Bank of Kansas CityKansas City, Missouri (USA)",188,101
101,"Department of Economics, University of OregonEugene, Oregon (USA)",192,102
102,"Economics Department, University of MissouriColumbia, Missouri (USA)",197,103
103,"Applied Economics Workshop, Booth School of Business, University of ChicagoChicago, Illinois (USA)",200,104
104,"Department of Commerce, Government of the United StatesWashington, District of Columbia (USA)",204,105
105,"Department of Economics, University of HoustonHouston, Texas (USA)",208,106
106,"Robert D. Burch Center for Tax Policy and Public Finance, Department of Economics, University of California-BerkeleyBerkeley, California (USA)",214,107
107,"Department of Economics, Indiana UniversityBloomington, Indiana (USA)",222,108
108,"Department of Economics, Cornell UniversityIthaca, New York (USA)",223,109
109,"Cowles Foundation for Research in Economics, Yale UniversityNew Haven, Connecticut (USA)",226,110
110,"Mossavar-Rahmani Center for Business and Government, Kennedy School of Government, Harvard UniversityCambridge, Massachusetts (USA)",229,111
111,"Macroeconomic and Quantitative Studies Section, Federal Reserve Board (Board of Governors of the Federal Reserve System)Washington, District of Columbia (USA)",231,112
112,"Center for Global Management, Anderson Graduate School of Management, University of California-Los Angeles (UCLA)Los Angeles, California (USA)",235,113
113,"Department of Economics, International Business School, Brandeis UniversityWaltham, Massachusetts (USA)",237,114
114,"Economic Analysis & Policy Group (EAP), Walter A. Haas School of Business, University of California-BerkeleyBerkeley, California (USA)",240,115
115,"School of Business, University of Wisconsin-MadisonMadison, Wisconsin (USA)",242,116
116,"Department of Economics, Finance and Legal Studies, Culverhouse College of Business, University of Alabama-TuscaloosaTuscaloosa, Alabama (USA)",244,117
117,"Culverhouse College of Business, University of Alabama-TuscaloosaTuscaloosa, Alabama (USA)",245,118
118,"Economics Department, Michigan State UniversityEast Lansing, Michigan (USA)",249,119
119,"School of Public and International Affairs, Princeton UniversityPrinceton, New Jersey (USA)",250,120
120,"Census Bureau, Department of Commerce, Government of the United StatesWashington, District of Columbia (USA)",251,121
121,"Poole College of Management, North Carolina State UniversityRaleigh, North Carolina (USA)",263,122
122,"Department of Economics, Poole College of Management, North Carolina State UniversityRaleigh, North Carolina (USA)",264,123
123,"Economics Research, World Bank GroupWashington, District of Columbia (USA)",267,124
124,"International Economics Department, School of Advanced International Studies, Johns Hopkins UniversityWashington, District of Columbia (USA)",279,125
125,"Department of Economics, University of KansasLawrence, Kansas (USA)",282,126
126,"Economics Department, Stern School of Business, New York University (NYU)New York City, New York (USA)",287,127
127,"LeBow College of Business, Drexel UniversityPhiladelphia, Pennsylvania (USA)",291,128
128,"School of Economics, LeBow College of Business, Drexel UniversityPhiladelphia, Pennsylvania (USA)",292,129
129,"Ross School of Business, University of MichiganAnn Arbor, Michigan (USA)",295,130
130,"Griswold Center for Economic Policy Studies, Department of Economics, Princeton UniversityPrinceton, New Jersey (USA)",298,131
131,"Inter-American Development BankWashington, District of Columbia (USA)",299,132
132,"Department of Economics, University of ColoradoBoulder, Colorado (USA)",302,133
133,"Department of Economics, George Washington UniversityWashington, District of Columbia (USA)",312,134
134,"Center for Economic Studies, Census Bureau, Department of Commerce, Government of the United StatesWashington, District of Columbia (USA)",313,135
135,"Finance Group, Anderson Graduate School of Management, University of California-Los Angeles (UCLA)Los Angeles, California (USA)",318,136
136,"Fisher College of Business, Ohio State UniversityColumbus, Ohio (USA)",320,137
137,"Economics Department, Eller College of Management, University of ArizonaTucson, Arizona (USA)",321,138
138,"Eller College of Management, University of ArizonaTucson, Arizona (USA)",322,139
139,"Department of Finance, Investment and Banking, School of Business, University of Wisconsin-MadisonMadison, Wisconsin (USA)",324,140
140,"Economics Department, Stony Brook University - SUNYStony Brook, New York (USA)",330,141
141,"Department of Economics, Iowa State UniversityAmes, Iowa (USA)",335,142
142,"Department of Economics, University of California-RiversideRiverside, California (USA)",342,143
143,"Business, Government and the International Economy (BGIE) Unit, Harvard Business School, Harvard UniversityCambridge, Massachusetts (USA)",344,144
144,"Center for Quantitative Economic Research (CQER), Federal Reserve Bank of AtlantaAtlanta, Georgia (USA)",346,145
145,"Finance Unit, Harvard Business School, Harvard UniversityCambridge, Massachusetts (USA)",353,146
146,"Department of Economics, Terry College of Business, University of GeorgiaAthens, Georgia (USA)",354,147
147,"Terry College of Business, University of GeorgiaAthens, Georgia (USA)",355,148
148,"Carey Business School, Johns Hopkins UniversityBaltimore, Maryland (USA)",360,149
149,"Department of Economics, Ohio State UniversityColumbus, Ohio (USA)",361,150
150,"Department of Economics, Texas A&M UniversityCollege Station, Texas (USA)",369,151
151,"Rochester Center for Economic Research (RCER), University of RochesterRochester, New York (USA)",370,152
152,"Department of Finance, Fisher College of Business, Ohio State UniversityColumbus, Ohio (USA)",373,153
153,"Department of Economics, Wellesley CollegeWellesley, Massachusetts (USA)",376,154
154,"John E. Walker Department of Economics, College of Business and Behavioral Science, Clemson UniversityClemson, South Carolina (USA)",386,155
155,"College of Business and Behavioral Science, Clemson UniversityClemson, South Carolina (USA)",387,156
156,"Department of Economics, University of MississippiUniversity, Mississippi (USA)",395,157
157,"Tuck School of Business, Dartmouth CollegeHanover, New Hampshire (USA)",397,158
158,"Charles H. Dyson School of Applied Economics and Management, College of Agriculture and Life Sciences, Cornell UniversityIthaca, New York (USA)",400,159
159,"School of Business and Entrepreneurship, Lindenwood UniversitySt. Charles, Missouri (USA)",405,160
160,"Center for Economics and the Environment (CEE), John W. Hammond Institute for Free Enterprise, School of Business and Entrepreneurship, Lindenwood UniversitySt. Charles, Missouri (USA)",406,161
161,"John W. Hammond Institute for Free Enterprise, School of Business and Entrepreneurship, Lindenwood UniversitySt. Charles, Missouri (USA)",407,162
162,"Penn Institute for Economic Research, Department of Economics, University of PennsylvaniaPhiladelphia, Pennsylvania (USA)",409,163
163,"Gerald R. Ford School of Public Policy, University of MichiganAnn Arbor, Michigan (USA)",412,164
164,"Carol Martin Gatton College of Business and Economics, University of KentuckyLexington, Kentucky (USA)",419,165
165,"Department of Economics, University of PittsburghPittsburgh, Pennsylvania (USA)",421,166
166,"Maurice R. Greenberg Center for Geoeconomic Studies, Council on Foreign RelationsWashington, District of Columbia (USA)",424,167
167,"Economics Department, University of RichmondRichmond, Virginia (USA)",428,168
168,"Cato InstituteWashington, District of Columbia (USA)",435,169
169,"Department of Economics, Rensselaer Polytechnic InstituteTroy, New York (USA)",449,170
170,"Harris School of Public Policy, University of ChicagoChicago, Illinois (USA)",451,171
171,"School of Business, Virginia Commonwealth UniversityRichmond, Virginia (USA)",458,172
172,"Department of Economics, School of Business, Virginia Commonwealth UniversityRichmond, Virginia (USA)",459,173
173,"Department of Economics, University of Nebraska-OmahaOmaha, Nebraska (USA)",460,174
174,"Olin School of Business, Washington University in St. LouisSt. Louis, Missouri (USA)",465,175
175,"Department of Economics, University of Massachusetts-AmherstAmherst, Massachusetts (USA)",472,176
176,"College of Business, University of Illinois at Urbana-ChampaignUrbana-Champaign, Illinois (USA)",476,177
177,"Stanford Institute for Economic Policy Research (SIEPR), Stanford UniversityStanford, California (USA)",485,178
178,"Andrew Young School of Policy Studies, Georgia State UniversityAtlanta, Georgia (USA)",486,179
179,"American Enterprise InstituteWashington, District of Columbia (USA)",490,180
180,"Department of Economics, Southern Methodist UniversityDallas, Texas (USA)",494,181
181,"Department of Economics, Carol Martin Gatton College of Business and Economics, University of KentuckyLexington, Kentucky (USA)",496,182
182,"Department of Finance, College of Business, University of Illinois at Urbana-ChampaignUrbana-Champaign, Illinois (USA)",501,183
183,"Ourso College of Business, Louisiana State UniversityBaton Rouge, Louisiana (USA)",508,184
184,"Globalization and Monetary Policy Institute, Economic Research Department, Federal Reserve Bank of DallasDallas, Texas (USA)",514,185
185,"Department of Economics, American UniversityWashington, District of Columbia (USA)",515,186
186,"Department of Economics, College of William and MaryWilliamsburg, Virginia (USA)",518,187
187,"Real Estate Department, Wharton School of Business, University of PennsylvaniaPhiladelphia, Pennsylvania (USA)",526,188
188,"Argyros School of Business and Economics, Chapman UniversityOrange, California (USA)",536,189
